Group,Subgroup,Week Date,Depression Value,Total Cases,Total Deaths,Total Tests,Positive Rate
By State,Pennsylvania,2020-05-05,31.0,1216263.0,74616.0,8598797.0,0.095
By State,Maryland,2020-05-05,32.9,1216263.0,74616.0,8598797.0,0.095
By State,Oklahoma,2020-05-05,28.6,1216263.0,74616.0,8598797.0,0.095
By State,Massachusetts,2020-05-05,40.6,1216263.0,74616.0,8598797.0,0.095
By State,Minnesota,2020-05-05,32.4,1216263.0,74616.0,8598797.0,0.095
By Sex,Male,2020-05-05,31.0,1216263.0,74616.0,8598797.0,0.095
By Sex,Female,2020-05-05,35.4,1216263.0,74616.0,8598797.0,0.095
By Sex,Male,2020-05-05,26.1,1216263.0,74616.0,8598797.0,0.095
By Sex,Female,2020-05-05,26.1,1216263.0,74616.0,8598797.0,0.095
By Sex,Male,2020-05-05,20.8,1216263.0,74616.0,8598797.0,0.095
By State,Wyoming,2020-05-05,31.0,1216263.0,74616.0,8598797.0,0.095
By State,Wisconsin,2020-05-05,31.1,1216263.0,74616.0,8598797.0,0.095
By State,West Virginia,2020-05-05,34.3,1216263.0,74616.0,8598797.0,0.095
By State,Washington,2020-05-05,35.0,1216263.0,74616.0,8598797.0,0.095
By State,Virginia,2020-05-05,33.7,1216263.0,74616.0,8598797.0,0.095
By State,Vermont,2020-05-05,33.9,1216263.0,74616.0,8598797.0,0.095
By State,Utah,2020-05-05,34.7,1216263.0,74616.0,8598797.0,0.095
By State,Texas,2020-05-05,34.9,1216263.0,74616.0,8598797.0,0.095
By State,Tennessee,2020-05-05,33.4,1216263.0,74616.0,8598797.0,0.095
By State,South Carolina,2020-05-05,33.3,1216263.0,74616.0,8598797.0,0.095
By State,Oregon,2020-05-05,36.8,1216263.0,74616.0,8598797.0,0.095
By State,Oklahoma,2020-05-05,34.1,1216263.0,74616.0,8598797.0,0.095
By State,Ohio,2020-05-05,35.1,1216263.0,74616.0,8598797.0,0.095
By State,North Dakota,2020-05-05,27.7,1216263.0,74616.0,8598797.0,0.095
By State,North Carolina,2020-05-05,34.6,1216263.0,74616.0,8598797.0,0.095
By State,New Mexico,2020-05-05,34.6,1216263.0,74616.0,8598797.0,0.095
By State,New Hampshire,2020-05-05,34.8,1216263.0,74616.0,8598797.0,0.095
By State,Missouri,2020-05-05,35.2,1216263.0,74616.0,8598797.0,0.095
By State,Michigan,2020-05-05,39.4,1216263.0,74616.0,8598797.0,0.095
By State,Ohio,2020-05-05,31.1,1216263.0,74616.0,8598797.0,0.095
By State,North Carolina,2020-05-05,30.0,1216263.0,74616.0,8598797.0,0.095
By State,New Jersey,2020-05-05,31.4,1216263.0,74616.0,8598797.0,0.095
By State,North Dakota,2020-05-05,17.0,1216263.0,74616.0,8598797.0,0.095
By State,North Carolina,2020-05-05,21.1,1216263.0,74616.0,8598797.0,0.095
By State,New York,2020-05-05,28.7,1216263.0,74616.0,8598797.0,0.095
By State,New Mexico,2020-05-05,22.4,1216263.0,74616.0,8598797.0,0.095
By State,New Jersey,2020-05-05,23.6,1216263.0,74616.0,8598797.0,0.095
By State,New Hampshire,2020-05-05,19.5,1216263.0,74616.0,8598797.0,0.095
By State,Nevada,2020-05-05,23.6,1216263.0,74616.0,8598797.0,0.095
By State,Montana,2020-05-05,18.2,1216263.0,74616.0,8598797.0,0.095
By State,Missouri,2020-05-05,21.0,1216263.0,74616.0,8598797.0,0.095
By State,Minnesota,2020-05-05,20.4,1216263.0,74616.0,8598797.0,0.095
By State,Maryland,2020-05-05,20.9,1216263.0,74616.0,8598797.0,0.095
By State,Maine,2020-05-05,19.5,1216263.0,74616.0,8598797.0,0.095
By State,Louisiana,2020-05-05,28.1,1216263.0,74616.0,8598797.0,0.095
By State,Kansas,2020-05-05,22.1,1216263.0,74616.0,8598797.0,0.095
By State,Iowa,2020-05-05,16.5,1216263.0,74616.0,8598797.0,0.095
By State,Idaho,2020-05-05,20.6,1216263.0,74616.0,8598797.0,0.095
By State,Georgia,2020-05-05,25.6,1216263.0,74616.0,8598797.0,0.095
By State,Delaware,2020-05-05,21.1,1216263.0,74616.0,8598797.0,0.095
By State,Connecticut,2020-05-05,24.4,1216263.0,74616.0,8598797.0,0.095
By State,Colorado,2020-05-05,22.0,1216263.0,74616.0,8598797.0,0.095
By State,California,2020-05-05,25.4,1216263.0,74616.0,8598797.0,0.095
By State,Arkansas,2020-05-05,26.6,1216263.0,74616.0,8598797.0,0.095
By State,Arizona,2020-05-05,22.4,1216263.0,74616.0,8598797.0,0.095
By State,Ohio,2020-05-05,21.2,1216263.0,74616.0,8598797.0,0.095
By State,Oklahoma,2020-05-05,20.8,1216263.0,74616.0,8598797.0,0.095
By State,Oregon,2020-05-05,22.5,1216263.0,74616.0,8598797.0,0.095
By State,Pennsylvania,2020-05-05,24.7,1216263.0,74616.0,8598797.0,0.095
By State,New Hampshire,2020-05-05,31.3,1216263.0,74616.0,8598797.0,0.095
By State,Montana,2020-05-05,22.8,1216263.0,74616.0,8598797.0,0.095
By State,Minnesota,2020-05-05,28.5,1216263.0,74616.0,8598797.0,0.095
By State,Michigan,2020-05-05,32.5,1216263.0,74616.0,8598797.0,0.095
By State,Maryland,2020-05-05,27.7,1216263.0,74616.0,8598797.0,0.095
By State,Louisiana,2020-05-05,34.4,1216263.0,74616.0,8598797.0,0.095
By State,Kentucky,2020-05-05,31.6,1216263.0,74616.0,8598797.0,0.095
By State,Kansas,2020-05-05,26.4,1216263.0,74616.0,8598797.0,0.095
By State,Iowa,2020-05-05,22.5,1216263.0,74616.0,8598797.0,0.095
By State,Indiana,2020-05-05,31.8,1216263.0,74616.0,8598797.0,0.095
By State,Illinois,2020-05-05,31.1,1216263.0,74616.0,8598797.0,0.095
By Sex,Female,2020-05-05,40.7,1216263.0,74616.0,8598797.0,0.095
By State,Hawaii,2020-05-05,32.3,1216263.0,74616.0,8598797.0,0.095
By State,Delaware,2020-05-05,29.9,1216263.0,74616.0,8598797.0,0.095
By State,Connecticut,2020-05-05,34.9,1216263.0,74616.0,8598797.0,0.095
By State,Arkansas,2020-05-05,33.7,1216263.0,74616.0,8598797.0,0.095
By State,Alaska,2020-05-05,27.7,1216263.0,74616.0,8598797.0,0.095
By State,Alabama,2020-05-05,25.6,1216263.0,74616.0,8598797.0,0.095
By State,West Virginia,2020-05-05,23.4,1216263.0,74616.0,8598797.0,0.095
By State,Washington,2020-05-05,22.1,1216263.0,74616.0,8598797.0,0.095
By State,Virginia,2020-05-05,21.5,1216263.0,74616.0,8598797.0,0.095
By State,Vermont,2020-05-05,20.7,1216263.0,74616.0,8598797.0,0.095
By State,Tennessee,2020-05-05,22.2,1216263.0,74616.0,8598797.0,0.095
By State,Rhode Island,2020-05-05,24.5,1216263.0,74616.0,8598797.0,0.095
By State,District of Columbia,2020-05-05,31.4,1216263.0,74616.0,8598797.0,0.095
By State,Alaska,2020-05-05,19.2,1216263.0,74616.0,8598797.0,0.095
By State,Alabama,2020-05-05,18.6,1216263.0,74616.0,8598797.0,0.095
By Age,70 - 79 years,2020-05-05,21.5,1216263.0,74616.0,8598797.0,0.095
By Age,60 - 69 years,2020-05-05,28.9,1216263.0,74616.0,8598797.0,0.095
By Age,50 - 59 years,2020-05-05,35.8,1216263.0,74616.0,8598797.0,0.095
By Age,40 - 49 years,2020-05-05,38.9,1216263.0,74616.0,8598797.0,0.095
By Age,30 - 39 years,2020-05-05,39.6,1216263.0,74616.0,8598797.0,0.095
By Age,80 years and above,2020-05-05,14.6,1216263.0,74616.0,8598797.0,0.095
By Age,70 - 79 years,2020-05-05,16.4,1216263.0,74616.0,8598797.0,0.095
By Age,60 - 69 years,2020-05-05,24.9,1216263.0,74616.0,8598797.0,0.095
By Age,18 - 29 years,2020-05-05,46.8,1216263.0,74616.0,8598797.0,0.095
By Age,40 - 49 years,2020-05-05,34.1,1216263.0,74616.0,8598797.0,0.095
By Age,30 - 39 years,2020-05-05,34.4,1216263.0,74616.0,8598797.0,0.095
By Age,18 - 29 years,2020-05-05,40.2,1216263.0,74616.0,8598797.0,0.095
By Age,80 years and above,2020-05-05,14.4,1216263.0,74616.0,8598797.0,0.095
By Age,60 - 69 years,2020-05-05,18.4,1216263.0,74616.0,8598797.0,0.095
By Age,50 - 59 years,2020-05-05,23.2,1216263.0,74616.0,8598797.0,0.095
By Age,30 - 39 years,2020-05-05,25.7,1216263.0,74616.0,8598797.0,0.095
By Age,50 - 59 years,2020-05-05,31.0,1216263.0,74616.0,8598797.0,0.095
By State,Washington,2020-05-12,28.5,1381136.0,85709.0,11050564.0,0.067
By State,Rhode Island,2020-05-12,26.9,1381136.0,85709.0,11050564.0,0.067
By State,South Carolina,2020-05-12,27.9,1381136.0,85709.0,11050564.0,0.067
By State,Tennessee,2020-05-12,29.6,1381136.0,85709.0,11050564.0,0.067
By State,Utah,2020-05-12,26.0,1381136.0,85709.0,11050564.0,0.067
By State,Vermont,2020-05-12,31.8,1381136.0,85709.0,11050564.0,0.067
By State,Virginia,2020-05-12,26.8,1381136.0,85709.0,11050564.0,0.067
By State,West Virginia,2020-05-12,34.6,1381136.0,85709.0,11050564.0,0.067
By State,Ohio,2020-05-12,26.4,1381136.0,85709.0,11050564.0,0.067
By State,Wyoming,2020-05-12,22.5,1381136.0,85709.0,11050564.0,0.067
By State,Alabama,2020-05-12,30.6,1381136.0,85709.0,11050564.0,0.067
By State,Alaska,2020-05-12,35.7,1381136.0,85709.0,11050564.0,0.067
By State,Arizona,2020-05-12,38.4,1381136.0,85709.0,11050564.0,0.067
By State,California,2020-05-12,34.4,1381136.0,85709.0,11050564.0,0.067
By State,Colorado,2020-05-12,32.2,1381136.0,85709.0,11050564.0,0.067
By State,Connecticut,2020-05-12,36.0,1381136.0,85709.0,11050564.0,0.067
By State,Pennsylvania,2020-05-12,28.4,1381136.0,85709.0,11050564.0,0.067
By State,Wisconsin,2020-05-12,25.6,1381136.0,85709.0,11050564.0,0.067
By State,Oklahoma,2020-05-12,27.2,1381136.0,85709.0,11050564.0,0.067
By State,Maine,2020-05-12,28.9,1381136.0,85709.0,11050564.0,0.067
By State,North Carolina,2020-05-12,25.9,1381136.0,85709.0,11050564.0,0.067
By State,Delaware,2020-05-12,24.9,1381136.0,85709.0,11050564.0,0.067
By State,Florida,2020-05-12,27.6,1381136.0,85709.0,11050564.0,0.067
By State,Georgia,2020-05-12,29.5,1381136.0,85709.0,11050564.0,0.067
By State,Hawaii,2020-05-12,20.4,1381136.0,85709.0,11050564.0,0.067
By State,Illinois,2020-05-12,35.7,1381136.0,85709.0,11050564.0,0.067
By State,Indiana,2020-05-12,31.5,1381136.0,85709.0,11050564.0,0.067
By State,Iowa,2020-05-12,20.3,1381136.0,85709.0,11050564.0,0.067
By State,North Dakota,2020-05-12,25.4,1381136.0,85709.0,11050564.0,0.067
By State,Kansas,2020-05-12,25.1,1381136.0,85709.0,11050564.0,0.067
By State,Delaware,2020-05-12,31.6,1381136.0,85709.0,11050564.0,0.067
By State,Michigan,2020-05-12,27.0,1381136.0,85709.0,11050564.0,0.067
By State,Mississippi,2020-05-12,38.3,1381136.0,85709.0,11050564.0,0.067
By State,Missouri,2020-05-12,37.8,1381136.0,85709.0,11050564.0,0.067
By State,Montana,2020-05-12,24.9,1381136.0,85709.0,11050564.0,0.067
By State,Nevada,2020-05-12,34.0,1381136.0,85709.0,11050564.0,0.067
By State,New Mexico,2020-05-12,30.2,1381136.0,85709.0,11050564.0,0.067
By State,Kentucky,2020-05-12,29.6,1381136.0,85709.0,11050564.0,0.067
By State,District of Columbia,2020-05-12,40.6,1381136.0,85709.0,11050564.0,0.067
By State,Maryland,2020-05-12,34.6,1381136.0,85709.0,11050564.0,0.067
By State,Georgia,2020-05-12,34.3,1381136.0,85709.0,11050564.0,0.067
By State,Oregon,2020-05-12,29.9,1381136.0,85709.0,11050564.0,0.067
By State,Pennsylvania,2020-05-12,32.0,1381136.0,85709.0,11050564.0,0.067
By State,Rhode Island,2020-05-12,33.8,1381136.0,85709.0,11050564.0,0.067
By State,South Carolina,2020-05-12,33.1,1381136.0,85709.0,11050564.0,0.067
By State,South Dakota,2020-05-12,29.8,1381136.0,85709.0,11050564.0,0.067
By State,Tennessee,2020-05-12,34.7,1381136.0,85709.0,11050564.0,0.067
By State,Texas,2020-05-12,35.9,1381136.0,85709.0,11050564.0,0.067
By State,Oklahoma,2020-05-12,31.0,1381136.0,85709.0,11050564.0,0.067
By State,Utah,2020-05-12,30.4,1381136.0,85709.0,11050564.0,0.067
By State,West Virginia,2020-05-12,39.0,1381136.0,85709.0,11050564.0,0.067
By Sex,Female,2020-05-12,37.2,1381136.0,85709.0,11050564.0,0.067
By Sex,Male,2020-05-12,31.4,1381136.0,85709.0,11050564.0,0.067
By Sex,Female,2020-05-12,33.1,1381136.0,85709.0,11050564.0,0.067
By Sex,Male,2020-05-12,26.7,1381136.0,85709.0,11050564.0,0.067
By Sex,Female,2020-05-12,25.8,1381136.0,85709.0,11050564.0,0.067
By Sex,Male,2020-05-12,22.3,1381136.0,85709.0,11050564.0,0.067
By State,Vermont,2020-05-12,35.7,1381136.0,85709.0,11050564.0,0.067
By State,Florida,2020-05-12,33.6,1381136.0,85709.0,11050564.0,0.067
By State,Ohio,2020-05-12,32.8,1381136.0,85709.0,11050564.0,0.067
By State,North Carolina,2020-05-12,28.1,1381136.0,85709.0,11050564.0,0.067
By State,Idaho,2020-05-12,29.2,1381136.0,85709.0,11050564.0,0.067
By State,Illinois,2020-05-12,41.8,1381136.0,85709.0,11050564.0,0.067
By State,Indiana,2020-05-12,34.9,1381136.0,85709.0,11050564.0,0.067
By State,Iowa,2020-05-12,26.1,1381136.0,85709.0,11050564.0,0.067
By State,Kentucky,2020-05-12,37.7,1381136.0,85709.0,11050564.0,0.067
By State,Louisiana,2020-05-12,42.8,1381136.0,85709.0,11050564.0,0.067
By State,Connecticut,2020-05-12,29.1,1381136.0,85709.0,11050564.0,0.067
By State,North Dakota,2020-05-12,28.6,1381136.0,85709.0,11050564.0,0.067
By State,Massachusetts,2020-05-12,31.0,1381136.0,85709.0,11050564.0,0.067
By State,Mississippi,2020-05-12,48.4,1381136.0,85709.0,11050564.0,0.067
By State,Montana,2020-05-12,27.6,1381136.0,85709.0,11050564.0,0.067
By State,Nebraska,2020-05-12,33.4,1381136.0,85709.0,11050564.0,0.067
By State,Nevada,2020-05-12,38.1,1381136.0,85709.0,11050564.0,0.067
By State,New Hampshire,2020-05-12,35.0,1381136.0,85709.0,11050564.0,0.067
By State,New Mexico,2020-05-12,39.8,1381136.0,85709.0,11050564.0,0.067
By State,New York,2020-05-12,36.9,1381136.0,85709.0,11050564.0,0.067
By State,Michigan,2020-05-12,33.4,1381136.0,85709.0,11050564.0,0.067
By State,Arkansas,2020-05-12,29.1,1381136.0,85709.0,11050564.0,0.067
By State,Alabama,2020-05-12,27.2,1381136.0,85709.0,11050564.0,0.067
By State,Georgia,2020-05-12,25.6,1381136.0,85709.0,11050564.0,0.067
By State,Indiana,2020-05-12,19.9,1381136.0,85709.0,11050564.0,0.067
By State,Idaho,2020-05-12,17.0,1381136.0,85709.0,11050564.0,0.067
By State,Hawaii,2020-05-12,16.8,1381136.0,85709.0,11050564.0,0.067
By Age,50 - 59 years,2020-05-12,31.3,1381136.0,85709.0,11050564.0,0.067
By State,Florida,2020-05-12,24.8,1381136.0,85709.0,11050564.0,0.067
By State,Delaware,2020-05-12,23.3,1381136.0,85709.0,11050564.0,0.067
By State,Connecticut,2020-05-12,21.5,1381136.0,85709.0,11050564.0,0.067
By State,Colorado,2020-05-12,23.6,1381136.0,85709.0,11050564.0,0.067
By State,California,2020-05-12,22.8,1381136.0,85709.0,11050564.0,0.067
By State,Arkansas,2020-05-12,24.5,1381136.0,85709.0,11050564.0,0.067
By State,Arizona,2020-05-12,25.3,1381136.0,85709.0,11050564.0,0.067
By State,Alaska,2020-05-12,27.4,1381136.0,85709.0,11050564.0,0.067
By State,Iowa,2020-05-12,18.1,1381136.0,85709.0,11050564.0,0.067
By Age,18 - 29 years,2020-05-12,36.2,1381136.0,85709.0,11050564.0,0.067
By Age,40 - 49 years,2020-05-12,25.5,1381136.0,85709.0,11050564.0,0.067
By Age,60 - 69 years,2020-05-12,17.6,1381136.0,85709.0,11050564.0,0.067
By Age,70 - 79 years,2020-05-12,12.2,1381136.0,85709.0,11050564.0,0.067
By Age,80 years and above,2020-05-12,9.1,1381136.0,85709.0,11050564.0,0.067
By Age,18 - 29 years,2020-05-12,42.0,1381136.0,85709.0,11050564.0,0.067
By Age,30 - 39 years,2020-05-12,34.3,1381136.0,85709.0,11050564.0,0.067
By Age,80 years and above,2020-05-12,13.9,1381136.0,85709.0,11050564.0,0.067
By Age,70 - 79 years,2020-05-12,19.8,1381136.0,85709.0,11050564.0,0.067
By Age,50 - 59 years,2020-05-12,35.5,1381136.0,85709.0,11050564.0,0.067
By Age,40 - 49 years,2020-05-12,36.9,1381136.0,85709.0,11050564.0,0.067
By Age,30 - 39 years,2020-05-12,39.3,1381136.0,85709.0,11050564.0,0.067
By Age,18 - 29 years,2020-05-12,47.4,1381136.0,85709.0,11050564.0,0.067
By Age,30 - 39 years,2020-05-12,27.7,1381136.0,85709.0,11050564.0,0.067
By State,Kansas,2020-05-12,16.7,1381136.0,85709.0,11050564.0,0.067
By Age,40 - 49 years,2020-05-12,31.9,1381136.0,85709.0,11050564.0,0.067
By State,Louisiana,2020-05-12,30.0,1381136.0,85709.0,11050564.0,0.067
By State,Wyoming,2020-05-12,18.6,1381136.0,85709.0,11050564.0,0.067
By State,West Virginia,2020-05-12,31.8,1381136.0,85709.0,11050564.0,0.067
By State,Vermont,2020-05-12,26.8,1381136.0,85709.0,11050564.0,0.067
By State,Utah,2020-05-12,22.6,1381136.0,85709.0,11050564.0,0.067
By State,Texas,2020-05-12,25.7,1381136.0,85709.0,11050564.0,0.067
By State,Tennessee,2020-05-12,21.7,1381136.0,85709.0,11050564.0,0.067
By State,South Dakota,2020-05-12,20.5,1381136.0,85709.0,11050564.0,0.067
By State,Pennsylvania,2020-05-12,23.0,1381136.0,85709.0,11050564.0,0.067
By State,Oklahoma,2020-05-12,20.7,1381136.0,85709.0,11050564.0,0.067
By State,Ohio,2020-05-12,26.4,1381136.0,85709.0,11050564.0,0.067
By State,North Dakota,2020-05-12,20.2,1381136.0,85709.0,11050564.0,0.067
By State,North Carolina,2020-05-12,20.2,1381136.0,85709.0,11050564.0,0.067
By State,New York,2020-05-12,29.2,1381136.0,85709.0,11050564.0,0.067
By State,Kentucky,2020-05-12,25.6,1381136.0,85709.0,11050564.0,0.067
By State,New Mexico,2020-05-12,29.0,1381136.0,85709.0,11050564.0,0.067
By State,Maine,2020-05-12,17.1,1381136.0,85709.0,11050564.0,0.067
By State,Maryland,2020-05-12,24.6,1381136.0,85709.0,11050564.0,0.067
By State,Massachusetts,2020-05-12,18.9,1381136.0,85709.0,11050564.0,0.067
By State,Minnesota,2020-05-12,18.4,1381136.0,85709.0,11050564.0,0.067
By State,Mississippi,2020-05-12,35.5,1381136.0,85709.0,11050564.0,0.067
By State,New Hampshire,2020-05-12,23.3,1381136.0,85709.0,11050564.0,0.067
By State,Nevada,2020-05-12,31.2,1381136.0,85709.0,11050564.0,0.067
By State,Nebraska,2020-05-12,21.6,1381136.0,85709.0,11050564.0,0.067
By State,Missouri,2020-05-12,24.1,1381136.0,85709.0,11050564.0,0.067
By State,Montana,2020-05-12,20.8,1381136.0,85709.0,11050564.0,0.067
By State,New Jersey,2020-05-12,26.4,1381136.0,85709.0,11050564.0,0.067
By State,Oregon,2020-05-19,22.7,1539142.0,95582.0,13852938.0,0.056
By State,North Carolina,2020-05-19,22.6,1539142.0,95582.0,13852938.0,0.056
By Sex,Male,2020-05-19,24.2,1539142.0,95582.0,13852938.0,0.056
By Sex,Female,2020-05-19,32.1,1539142.0,95582.0,13852938.0,0.056
By Sex,Female,2020-05-19,26.7,1539142.0,95582.0,13852938.0,0.056
By Sex,Male,2020-05-19,22.1,1539142.0,95582.0,13852938.0,0.056
By State,North Dakota,2020-05-19,22.5,1539142.0,95582.0,13852938.0,0.056
By State,Ohio,2020-05-19,27.0,1539142.0,95582.0,13852938.0,0.056
By State,Oklahoma,2020-05-19,25.7,1539142.0,95582.0,13852938.0,0.056
By State,South Carolina,2020-05-19,25.3,1539142.0,95582.0,13852938.0,0.056
By State,Rhode Island,2020-05-19,18.8,1539142.0,95582.0,13852938.0,0.056
By Sex,Female,2020-05-19,37.6,1539142.0,95582.0,13852938.0,0.056
By State,New York,2020-05-19,23.8,1539142.0,95582.0,13852938.0,0.056
By State,Virginia,2020-05-19,25.4,1539142.0,95582.0,13852938.0,0.056
By State,Iowa,2020-05-19,19.0,1539142.0,95582.0,13852938.0,0.056
By State,South Dakota,2020-05-19,22.7,1539142.0,95582.0,13852938.0,0.056
By State,Tennessee,2020-05-19,25.6,1539142.0,95582.0,13852938.0,0.056
By State,Texas,2020-05-19,24.9,1539142.0,95582.0,13852938.0,0.056
By State,Utah,2020-05-19,21.2,1539142.0,95582.0,13852938.0,0.056
By State,Washington,2020-05-19,23.2,1539142.0,95582.0,13852938.0,0.056
By State,West Virginia,2020-05-19,27.0,1539142.0,95582.0,13852938.0,0.056
By State,Wisconsin,2020-05-19,20.3,1539142.0,95582.0,13852938.0,0.056
By State,Wyoming,2020-05-19,20.7,1539142.0,95582.0,13852938.0,0.056
By State,Kentucky,2020-05-19,27.7,1539142.0,95582.0,13852938.0,0.056
By State,Alabama,2020-05-19,20.7,1539142.0,95582.0,13852938.0,0.056
By State,Arizona,2020-05-19,29.0,1539142.0,95582.0,13852938.0,0.056
By State,Arkansas,2020-05-19,28.7,1539142.0,95582.0,13852938.0,0.056
By State,District of Columbia,2020-05-19,33.3,1539142.0,95582.0,13852938.0,0.056
By State,Florida,2020-05-19,28.2,1539142.0,95582.0,13852938.0,0.056
By State,Hawaii,2020-05-19,24.1,1539142.0,95582.0,13852938.0,0.056
By State,Idaho,2020-05-19,24.0,1539142.0,95582.0,13852938.0,0.056
By State,Illinois,2020-05-19,28.5,1539142.0,95582.0,13852938.0,0.056
By State,Indiana,2020-05-19,32.6,1539142.0,95582.0,13852938.0,0.056
By State,Alaska,2020-05-19,26.2,1539142.0,95582.0,13852938.0,0.056
By State,New Mexico,2020-05-19,28.4,1539142.0,95582.0,13852938.0,0.056
By Sex,Male,2020-05-19,29.9,1539142.0,95582.0,13852938.0,0.056
By State,New Hampshire,2020-05-19,20.3,1539142.0,95582.0,13852938.0,0.056
By Age,60 - 69 years,2020-05-19,26.4,1539142.0,95582.0,13852938.0,0.056
By Age,50 - 59 years,2020-05-19,33.7,1539142.0,95582.0,13852938.0,0.056
By Age,40 - 49 years,2020-05-19,35.3,1539142.0,95582.0,13852938.0,0.056
By Age,30 - 39 years,2020-05-19,37.8,1539142.0,95582.0,13852938.0,0.056
By Age,18 - 29 years,2020-05-19,47.7,1539142.0,95582.0,13852938.0,0.056
By Age,80 years and above,2020-05-19,11.8,1539142.0,95582.0,13852938.0,0.056
By Age,70 - 79 years,2020-05-19,13.4,1539142.0,95582.0,13852938.0,0.056
By Age,60 - 69 years,2020-05-19,22.3,1539142.0,95582.0,13852938.0,0.056
By Age,70 - 79 years,2020-05-19,18.3,1539142.0,95582.0,13852938.0,0.056
By Age,50 - 59 years,2020-05-19,28.4,1539142.0,95582.0,13852938.0,0.056
By Age,30 - 39 years,2020-05-19,32.2,1539142.0,95582.0,13852938.0,0.056
By Age,18 - 29 years,2020-05-19,38.6,1539142.0,95582.0,13852938.0,0.056
By Age,80 years and above,2020-05-19,14.4,1539142.0,95582.0,13852938.0,0.056
By Age,70 - 79 years,2020-05-19,12.3,1539142.0,95582.0,13852938.0,0.056
By Age,60 - 69 years,2020-05-19,18.0,1539142.0,95582.0,13852938.0,0.056
By Age,50 - 59 years,2020-05-19,24.6,1539142.0,95582.0,13852938.0,0.056
By Age,40 - 49 years,2020-05-19,25.0,1539142.0,95582.0,13852938.0,0.056
By Age,30 - 39 years,2020-05-19,26.7,1539142.0,95582.0,13852938.0,0.056
By Age,40 - 49 years,2020-05-19,30.7,1539142.0,95582.0,13852938.0,0.056
By State,New Jersey,2020-05-19,26.9,1539142.0,95582.0,13852938.0,0.056
By Age,80 years and above,2020-05-19,17.1,1539142.0,95582.0,13852938.0,0.056
By State,Arizona,2020-05-19,20.0,1539142.0,95582.0,13852938.0,0.056
By State,Montana,2020-05-19,21.1,1539142.0,95582.0,13852938.0,0.056
By State,Missouri,2020-05-19,24.3,1539142.0,95582.0,13852938.0,0.056
By State,Mississippi,2020-05-19,36.4,1539142.0,95582.0,13852938.0,0.056
By State,Michigan,2020-05-19,27.9,1539142.0,95582.0,13852938.0,0.056
By State,Maryland,2020-05-19,20.8,1539142.0,95582.0,13852938.0,0.056
By State,Louisiana,2020-05-19,26.5,1539142.0,95582.0,13852938.0,0.056
By State,Kansas,2020-05-19,21.2,1539142.0,95582.0,13852938.0,0.056
By State,Iowa,2020-05-19,18.6,1539142.0,95582.0,13852938.0,0.056
By State,Louisiana,2020-05-19,27.9,1539142.0,95582.0,13852938.0,0.056
By State,Indiana,2020-05-19,24.5,1539142.0,95582.0,13852938.0,0.056
By State,Idaho,2020-05-19,18.1,1539142.0,95582.0,13852938.0,0.056
By State,Hawaii,2020-05-19,21.3,1539142.0,95582.0,13852938.0,0.056
By State,Georgia,2020-05-19,24.8,1539142.0,95582.0,13852938.0,0.056
By State,Florida,2020-05-19,24.3,1539142.0,95582.0,13852938.0,0.056
By State,District of Columbia,2020-05-19,25.9,1539142.0,95582.0,13852938.0,0.056
By State,Delaware,2020-05-19,21.8,1539142.0,95582.0,13852938.0,0.056
By State,Connecticut,2020-05-19,20.2,1539142.0,95582.0,13852938.0,0.056
